No,Player,GP,GS,MIN,FGM,FGA,3PTA,3PTM,FTM,FTA,PTS,OFF,DEF,REB,PF,DQ,AST,TO,STL,BLK
2,Damani Green,5.0,4.0,132.0,25.0,73.0,10.0,25.0,15.0,19.0,75.0,3.0,13.0,16.0,8.0,0,12.0,9.0,2.0,0.0
4,Noah Simon,12.0,8.0,240.0,26.0,77.0,4.0,24.0,5.0,6.0,61.0,18.0,27.0,45.0,22.0,2.0,4.0,15.0,7.0,5.0
5,Nathan Lamb,12.0,0,162.0,21.0,61.0,9.0,41.0,3.0,5.0,54.0,9.0,15.0,24.0,12.0,0,15.0,7.0,3.0,2.0
6,Manny Biden,12.0,12.0,408.0,61.0,153.0,5.0,23.0,40.0,60.0,167.0,13.0,58.0,71.0,32.0,1.0,41.0,26.0,16.0,8.0
7,Brandon Porter,12.0,12.0,349.0,33.0,73.0,24.0,54.0,9.0,12.0,99.0,8.0,32.0,40.0,32.0,1.0,33.0,18.0,24.0,1.0
8,Alex Szewczyk,12.0,11.0,298.0,42.0,156.0,16.0,65.0,19.0,29.0,119.0,13.0,60.0,73.0,31.0,0,28.0,20.0,11.0,6.0
9,Gabe Soroka,11.0,0,66.0,5.0,24.0,3.0,17.0,6.0,6.0,19.0,11.0,4.0,15.0,9.0,0,2.0,5.0,1.0,1.0
10,Tommy Ault,4.0,1.0,39.0,1.0,8.0,0.0,7.0,0.0,0.0,2.0,1.0,5.0,6.0,4.0,0,3.0,1.0,0.0,0.0
11,Reed Jakubiszyn,10.0,4.0,201.0,34.0,94.0,25.0,69.0,10.0,15.0,103.0,9.0,14.0,23.0,23.0,0,14.0,17.0,6.0,3.0
12,Miles Kincade,6.0,0,13.0,2.0,4.0,2.0,4.0,0.0,0.0,6.0,0.0,2.0,2.0,1.0,0,3.0,0.0,0.0,1.0
13,Anton Drasdo,12.0,8.0,275.0,16.0,75.0,8.0,39.0,12.0,17.0,52.0,13.0,43.0,56.0,29.0,2.0,19.0,22.0,7.0,2.0
23,Isaac Dirks,7.0,0,40.0,5.0,10.0,1.0,4.0,0.0,0.0,11.0,0.0,1.0,1.0,3.0,0,0.0,0.0,0.0,0.0
32,Dajuan Burke,12.0,0,171.0,10.0,45.0,1.0,18.0,8.0,11.0,29.0,13.0,23.0,36.0,23.0,0,15.0,20.0,4.0,3.0
35,Mikey Kraus,4.0,0,10.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
100,tester,0.0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0